WORD,POS,INFO,SOURCE_FILE
were,VBD,1,wsj_0003.dp
reported,VBN,4,wsj_0003.dp
more,RBR,7,wsj_0003.dp
than,IN,9,wsj_0003.dp
a,DT,7,wsj_0003.dp
year,NN,10,wsj_0003.dp
ago,IN,5,wsj_0003.dp
",",",",15,wsj_0003.dp
the,DT,14,wsj_0003.dp
latest,JJS,14,wsj_0003.dp
results,NNS,15,wsj_0003.dp
appear,VBP,0,wsj_0003.dp
in,IN,15,wsj_0003.dp
today,NN,18,wsj_0003.dp
's,POS,21,wsj_0003.dp
New,NNP,21,wsj_0003.dp
England,NNP,21,wsj_0003.dp
Journal,NNP,26,wsj_0003.dp
of,IN,21,wsj_0003.dp
Medicine,NNP,22,wsj_0003.dp
",",",",26,wsj_0003.dp
a,DT,26,wsj_0003.dp
forum,NN,16,wsj_0003.dp
likely,JJ,26,wsj_0003.dp
to,TO,29,wsj_0003.dp
bring,VB,27,wsj_0003.dp
new,JJ,31,wsj_0003.dp
attention,NN,29,wsj_0003.dp
to,TO,29,wsj_0003.dp
the,DT,34,wsj_0003.dp
problem,NN,32,wsj_0003.dp
.,.,15,wsj_0003.dp
A,DT,3,wsj_0003.dp
Lorillard,NNP,3,wsj_0003.dp
spokewoman,NN,4,wsj_0003.dp
said,VBD,0,wsj_0003.dp
",",",",4,wsj_0003.dp
``,``,4,wsj_0003.dp
This,DT,8,wsj_0003.dp
is,VBZ,4,wsj_0003.dp
an,DT,11,wsj_0003.dp
old,JJ,11,wsj_0003.dp
story,NN,8,wsj_0003.dp
.,.,4,wsj_0003.dp
We,PRP,2,wsj_0003.dp
're,VBP,0,wsj_0003.dp
talking,VBG,2,wsj_0003.dp
about,IN,3,wsj_0003.dp
years,NNS,6,wsj_0003.dp
ago,IN,4,wsj_0003.dp
before,IN,6,wsj_0003.dp
anyone,NN,9,wsj_0003.dp
heard,VBD,7,wsj_0003.dp
of,IN,9,wsj_0003.dp
asbestos,NN,12,wsj_0003.dp
having,VBG,10,wsj_0003.dp
any,DT,15,wsj_0003.dp
questionable,JJ,15,wsj_0003.dp
properties,NNS,12,wsj_0003.dp
.,.,2,wsj_0003.dp
There,EX,2,wsj_0003.dp
is,VBZ,0,wsj_0003.dp
no,DT,4,wsj_0003.dp
asbestos,NN,2,wsj_0003.dp
in,IN,2,wsj_0003.dp
our,PRP$,7,wsj_0003.dp
products,NNS,5,wsj_0003.dp
now,RB,2,wsj_0003.dp
.,.,2,wsj_0003.dp
'','',2,wsj_0003.dp
Neither,DT,5,wsj_0003.dp
Lorillard,NNP,5,wsj_0003.dp
nor,CC,5,wsj_0003.dp
the,DT,5,wsj_0003.dp
researchers,NNS,10,wsj_0003.dp
who,WP,5,wsj_0003.dp
studied,VBD,6,wsj_0003.dp
the,DT,9,wsj_0003.dp
workers,NNS,7,wsj_0003.dp
were,VBD,0,wsj_0003.dp
aware,JJ,10,wsj_0003.dp
of,IN,11,wsj_0003.dp
any,DT,14,wsj_0003.dp
research,NN,12,wsj_0003.dp
on,IN,14,wsj_0003.dp
smokers,NNS,15,wsj_0003.dp
of,IN,16,wsj_0003.dp
the,DT,20,wsj_0003.dp
Kent,NNP,20,wsj_0003.dp
cigarettes,NNS,17,wsj_0003.dp
.,.,10,wsj_0003.dp
``,``,15,wsj_0003.dp
We,PRP,3,wsj_0003.dp
have,VBP,15,wsj_0003.dp
no,DT,6,wsj_0003.dp
useful,JJ,6,wsj_0003.dp
information,NN,3,wsj_0003.dp
on,IN,6,wsj_0003.dp
whether,IN,7,wsj_0003.dp
users,NNS,10,wsj_0003.dp
are,VBP,8,wsj_0003.dp
at,IN,10,wsj_0003.dp
risk,NN,11,wsj_0003.dp
",",",",15,wsj_0003.dp
'','',15,wsj_0003.dp
said,VBD,0,wsj_0003.dp
James,NNP,18,wsj_0003.dp
A.,NNP,18,wsj_0003.dp
Talcott,NNP,15,wsj_0003.dp
of,IN,18,wsj_0003.dp
Boston,NNP,21,wsj_0003.dp
's,POS,24,wsj_0003.dp
Dana-Farber,NNP,24,wsj_0003.dp
Cancer,NNP,24,wsj_0003.dp
Institute,NNP,19,wsj_0003.dp
.,.,15,wsj_0003.dp
Dr.,NNP,2,wsj_0003.dp
Talcott,NNP,3,wsj_0003.dp
led,VBD,0,wsj_0003.dp
a,DT,5,wsj_0003.dp
team,NN,3,wsj_0003.dp
of,IN,5,wsj_0003.dp
researchers,NNS,6,wsj_0003.dp
from,IN,7,wsj_0003.dp
the,DT,12,wsj_0003.dp
National,NNP,12,wsj_0003.dp
Cancer,NNP,12,wsj_0003.dp
Institute,NNP,16,wsj_0003.dp
and,CC,16,wsj_0003.dp
the,DT,16,wsj_0003.dp
medical,JJ,16,wsj_0003.dp
schools,NNS,8,wsj_0003.dp
of,IN,16,wsj_0003.dp
Harvard,NNP,19,wsj_0003.dp
University,NNP,22,wsj_0003.dp
and,CC,22,wsj_0003.dp
Boston,NNP,22,wsj_0003.dp
University,NNP,17,wsj_0003.dp
.,.,3,wsj_0003.dp
The,DT,3,wsj_0003.dp
Lorillard,NNP,3,wsj_0003.dp
spokeswoman,NN,4,wsj_0003.dp
said,VBD,0,wsj_0003.dp
asbestos,NN,6,wsj_0003.dp
was,VBD,4,wsj_0003.dp
used,VBN,6,wsj_0003.dp
in,IN,7,wsj_0003.dp
``,``,8,wsj_0003.dp
very,RB,11,wsj_0003.dp
modest,JJ,12,wsj_0003.dp
amounts,NNS,8,wsj_0003.dp
'','',8,wsj_0003.dp
in,IN,7,wsj_0003.dp
making,VBG,14,wsj_0003.dp
paper,NN,15,wsj_0003.dp
for,IN,16,wsj_0003.dp
the,DT,19,wsj_0003.dp
filters,NNS,17,wsj_0003.dp
in,IN,7,wsj_0003.dp
the,DT,23,wsj_0003.dp
early,JJ,23,wsj_0003.dp
1950s,CD,20,wsj_0003.dp
and,CC,7,wsj_0003.dp
replaced,VBN,7,wsj_0003.dp
with,IN,25,wsj_0003.dp
a,DT,29,wsj_0003.dp
different,JJ,29,wsj_0003.dp
type,NN,26,wsj_0003.dp
of,IN,29,wsj_0003.dp
filter,NN,30,wsj_0003.dp
in,IN,25,wsj_0003.dp
1956,CD,32,wsj_0003.dp
.,.,4,wsj_0003.dp
From,IN,13,wsj_0003.dp
1953,CD,1,wsj_0003.dp
to,TO,1,wsj_0003.dp
1955,CD,3,wsj_0003.dp
",",",",13,wsj_0003.dp
9.8,CD,7,wsj_0003.dp
billion,CD,9,wsj_0003.dp
Kent,NNP,9,wsj_0003.dp
cigarettes,NNS,13,wsj_0003.dp
with,IN,9,wsj_0003.dp
the,DT,12,wsj_0003.dp
filters,NNS,10,wsj_0003.dp
were,VBD,18,wsj_0003.dp
sold,VBN,13,wsj_0003.dp
",",",",18,wsj_0003.dp
the,DT,17,wsj_0003.dp
company,NN,18,wsj_0003.dp
said,VBD,0,wsj_0003.dp
.,.,18,wsj_0003.dp
Among,IN,12,wsj_0003.dp
33,CD,3,wsj_0003.dp
men,NNS,1,wsj_0003.dp
who,WP,3,wsj_0003.dp
worked,VBD,4,wsj_0003.dp
closely,RB,5,wsj_0003.dp
with,IN,5,wsj_0003.dp
the,DT,9,wsj_0003.dp
substance,NN,7,wsj_0003.dp
",",",",12,wsj_0003.dp
28,CD,12,wsj_0003.dp
have,VBP,0,wsj_0003.dp
died,VBN,12,wsj_0003.dp
--,:,13,wsj_0003.dp
more,JJ,16,wsj_0003.dp
than,IN,21,wsj_0003.dp
three,CD,16,wsj_0003.dp
times,NNS,16,wsj_0003.dp
the,DT,21,wsj_0003.dp
expected,VBN,21,wsj_0003.dp
number,NN,13,wsj_0003.dp
.,.,12,wsj_0003.dp
Four,CD,7,wsj_0003.dp
of,IN,1,wsj_0003.dp
the,DT,6,wsj_0003.dp
five,CD,6,wsj_0003.dp
surviving,VBG,6,wsj_0003.dp
workers,NNS,2,wsj_0003.dp
have,VBP,0,wsj_0003.dp
asbestos-related,JJ,9,wsj_0003.dp
diseases,NNS,7,wsj_0003.dp
",",",",7,wsj_0003.dp
including,VBG,7,wsj_0003.dp
three,CD,11,wsj_0003.dp
with,IN,12,wsj_0003.dp
recently,RB,15,wsj_0003.dp
diagnosed,VBN,16,wsj_0003.dp
cancer,NN,13,wsj_0003.dp
.,.,7,wsj_0003.dp
The,DT,2,wsj_0003.dp
total,NN,14,wsj_0003.dp
of,IN,2,wsj_0003.dp
18,CD,5,wsj_0003.dp
deaths,NNS,3,wsj_0003.dp
from,IN,5,wsj_0003.dp
malignant,JJ,8,wsj_0003.dp
mesothelioma,NN,13,wsj_0003.dp
",",",",13,wsj_0003.dp
lung,NN,11,wsj_0003.dp
cancer,NN,13,wsj_0003.dp
and,CC,13,wsj_0003.dp
asbestosis,NN,6,wsj_0003.dp
was,VBD,22,wsj_0003.dp
far,RB,16,wsj_0003.dp
higher,JJR,14,wsj_0003.dp
than,IN,16,wsj_0003.dp
expected,VBN,17,wsj_0003.dp
",",",",22,wsj_0003.dp
the,DT,21,wsj_0003.dp
researchers,NNS,22,wsj_0003.dp
said,VBD,0,wsj_0003.dp
.,.,22,wsj_0003.dp
``,``,19,wsj_0003.dp
The,DT,4,wsj_0003.dp
morbidity,NN,4,wsj_0003.dp
rate,NN,5,wsj_0003.dp
is,VBZ,19,wsj_0003.dp
a,DT,8,wsj_0003.dp
striking,JJ,8,wsj_0003.dp
finding,NN,5,wsj_0003.dp
among,IN,5,wsj_0003.dp
those,DT,9,wsj_0003.dp
of,IN,10,wsj_0003.dp
us,PRP,11,wsj_0003.dp
who,WP,10,wsj_0003.dp
study,VBP,13,wsj_0003.dp
asbestos-related,JJ,16,wsj_0003.dp
diseases,NNS,14,wsj_0003.dp
",",",",19,wsj_0003.dp
'','',19,wsj_0003.dp
said,VBD,0,wsj_0003.dp
Dr.,NNP,21,wsj_0003.dp
Talcott,NNP,19,wsj_0003.dp
.,.,19,wsj_0003.dp
The,DT,2,wsj_0003.dp
percentage,NN,19,wsj_0003.dp
of,IN,2,wsj_0003.dp
lung,NN,6,wsj_0003.dp
cancer,NN,6,wsj_0003.dp
deaths,NNS,3,wsj_0003.dp
among,IN,2,wsj_0003.dp
the,DT,9,wsj_0003.dp
workers,NNS,7,wsj_0003.dp
at,IN,9,wsj_0003.dp
the,DT,18,wsj_0003.dp
West,NNP,15,wsj_0003.dp
Groton,NNP,15,wsj_0003.dp
",",",",15,wsj_0003.dp
Mass.,NNP,18,wsj_0003.dp
",",",",15,wsj_0003.dp
paper,NN,18,wsj_0003.dp
factory,NN,10,wsj_0003.dp
appears,VBZ,35,wsj_0003.dp
to,TO,21,wsj_0003.dp
be,VB,19,wsj_0003.dp
the,DT,23,wsj_0003.dp
highest,JJS,21,wsj_0003.dp
for,IN,23,wsj_0003.dp
any,DT,27,wsj_0003.dp
asbestos,NN,27,wsj_0003.dp
workers,NNS,24,wsj_0003.dp
studied,VBN,27,wsj_0003.dp
in,IN,28,wsj_0003.dp
Western,JJ,32,wsj_0003.dp
industrialized,VBN,32,wsj_0003.dp
countries,NNS,29,wsj_0003.dp
",",",",35,wsj_0003.dp
he,PRP,35,wsj_0003.dp
said,VBD,0,wsj_0003.dp
.,.,35,wsj_0003.dp
The,DT,2,wsj_0003.dp
plant,NN,13,wsj_0003.dp
",",",",2,wsj_0003.dp
which,WDT,2,wsj_0003.dp
is,VBZ,4,wsj_0003.dp
owned,VBN,5,wsj_0003.dp
by,IN,6,wsj_0003.dp
Hollingsworth,NNP,11,wsj_0003.dp
&,CC,11,wsj_0003.dp
Vose,NNP,11,wsj_0003.dp
Co.,NNP,7,wsj_0003.dp
",",",",2,wsj_0003.dp
was,VBD,0,wsj_0003.dp
under,IN,13,wsj_0003.dp
contract,NN,14,wsj_0003.dp
with,IN,15,wsj_0003.dp
Lorillard,NN,16,wsj_0003.dp
to,TO,19,wsj_0003.dp
make,VB,15,wsj_0003.dp
the,DT,22,wsj_0003.dp
cigarette,NN,22,wsj_0003.dp
filters,NNS,19,wsj_0003.dp
.,.,13,wsj_0003.dp
The,DT,2,wsj_0003.dp
finding,NN,4,wsj_0003.dp
probably,RB,4,wsj_0003.dp
will,MD,41,wsj_0003.dp
support,VB,4,wsj_0003.dp
those,DT,5,wsj_0003.dp
who,WP,6,wsj_0003.dp
argue,VBP,7,wsj_0003.dp
that,IN,8,wsj_0003.dp
the,DT,11,wsj_0003.dp
U.S.,NNP,12,wsj_0003.dp
should,MD,9,wsj_0003.dp
regulate,VB,12,wsj_0003.dp
the,DT,15,wsj_0003.dp
class,NN,13,wsj_0003.dp
of,IN,15,wsj_0003.dp
asbestos,NN,16,wsj_0003.dp
including,VBG,15,wsj_0003.dp
crocidolite,NN,18,wsj_0003.dp
more,RBR,21,wsj_0003.dp
stringently,RB,13,wsj_0003.dp
than,IN,21,wsj_0003.dp
the,DT,25,wsj_0003.dp
common,JJ,25,wsj_0003.dp
kind,NN,29,wsj_0003.dp
of,IN,29,wsj_0003.dp
asbestos,NN,26,wsj_0003.dp
",",",",29,wsj_0003.dp
chrysotile,NN,22,wsj_0003.dp
",",",",29,wsj_0003.dp
found,VBN,29,wsj_0003.dp
in,IN,31,wsj_0003.dp
most,JJS,34,wsj_0003.dp
schools,NNS,37,wsj_0003.dp
and,CC,37,wsj_0003.dp
other,JJ,37,wsj_0003.dp
buildings,NNS,32,wsj_0003.dp
",",",",41,wsj_0003.dp
Dr.,NNP,40,wsj_0003.dp
Talcott,NNP,41,wsj_0003.dp
said,VBD,0,wsj_0003.dp
.,.,41,wsj_0003.dp
The,DT,2,wsj_0003.dp
U.S.,NNP,3,wsj_0003.dp
is,VBZ,0,wsj_0003.dp
one,CD,3,wsj_0003.dp
of,IN,4,wsj_0003.dp
the,DT,9,wsj_0003.dp
few,JJ,9,wsj_0003.dp
industrialized,VBN,9,wsj_0003.dp
nations,NNS,5,wsj_0003.dp
that,WDT,9,wsj_0003.dp
does,VBZ,10,wsj_0003.dp
n't,RB,11,wsj_0003.dp
have,VB,11,wsj_0003.dp
a,DT,16,wsj_0003.dp
higher,JJR,16,wsj_0003.dp
standard,NN,13,wsj_0003.dp
of,IN,16,wsj_0003.dp
regulation,NN,17,wsj_0003.dp
for,IN,16,wsj_0003.dp
the,DT,24,wsj_0003.dp
smooth,JJ,24,wsj_0003.dp
",",",",24,wsj_0003.dp
needle-like,JJ,24,wsj_0003.dp
fibers,NNS,19,wsj_0003.dp
such,JJ,26,wsj_0003.dp
as,IN,24,wsj_0003.dp
crocidolite,NN,26,wsj_0003.dp
that,WDT,24,wsj_0003.dp
are,VBP,28,wsj_0003.dp
classified,VBN,29,wsj_0003.dp
as,IN,30,wsj_0003.dp
amphobiles,NNS,31,wsj_0003.dp
",",",",3,wsj_0003.dp
according,VBG,3,wsj_0003.dp
to,TO,34,wsj_0003.dp
Brooke,NNP,38,wsj_0003.dp
T.,NNP,38,wsj_0003.dp
Mossman,NNP,41,wsj_0003.dp
",",",",41,wsj_0003.dp
a,DT,41,wsj_0003.dp
professor,NN,35,wsj_0003.dp
of,IN,41,wsj_0003.dp
pathlogy,NN,42,wsj_0003.dp
at,IN,41,wsj_0003.dp
the,DT,49,wsj_0003.dp
University,NNP,49,wsj_0003.dp
of,IN,46,wsj_0003.dp
Vermont,NNP,47,wsj_0003.dp
College,NNP,44,wsj_0003.dp
of,IN,49,wsj_0003.dp
Medicine,NNP,50,wsj_0003.dp
.,.,3,wsj_0003.dp
More,RBR,4,wsj_0003.dp
common,JJ,4,wsj_0003.dp
chrysotile,NN,4,wsj_0003.dp
fibers,NNS,5,wsj_0003.dp
are,VBP,18,wsj_0003.dp
curly,JJ,5,wsj_0003.dp
and,CC,5,wsj_0003.dp
are,VBP,5,wsj_0003.dp
more,RBR,10,wsj_0003.dp
easily,RB,11,wsj_0003.dp
rejected,VBN,8,wsj_0003.dp
by,IN,11,wsj_0003.dp
the,DT,14,wsj_0003.dp
body,NN,12,wsj_0003.dp
",",",",18,wsj_0003.dp
Dr.,NNP,17,wsj_0003.dp
Mossman,NNP,18,wsj_0003.dp
explained,VBD,0,wsj_0003.dp
.,.,18,wsj_0003.dp
In,IN,8,wsj_0003.dp
July,NNP,1,wsj_0003.dp
",",",",8,wsj_0003.dp
the,DT,7,wsj_0003.dp
Environmental,NNP,7,wsj_0003.dp
Protection,NNP,7,wsj_0003.dp
Agency,NNP,8,wsj_0003.dp
imposed,VBD,0,wsj_0003.dp
a,DT,11,wsj_0003.dp
gradual,JJ,11,wsj_0003.dp
ban,NN,8,wsj_0003.dp
on,IN,8,wsj_0003.dp
virtually,RB,14,wsj_0003.dp
all,DT,15,wsj_0003.dp
uses,NNS,12,wsj_0003.dp
of,IN,15,wsj_0003.dp
asbestos,NN,16,wsj_0003.dp
.,.,8,wsj_0003.dp
By,IN,11,wsj_0003.dp
1997,CD,1,wsj_0003.dp
",",",",11,wsj_0003.dp
almost,RB,5,wsj_0003.dp
all,DT,7,wsj_0003.dp
remaining,VBG,7,wsj_0003.dp
uses,NNS,11,wsj_0003.dp
of,IN,7,wsj_0003.dp
cancer-causing,JJ,10,wsj_0003.dp
asbestos,NN,8,wsj_0003.dp
will,MD,0,wsj_0003.dp
be,VB,11,wsj_0003.dp
outlawed,VBN,12,wsj_0003.dp
.,.,11,wsj_0003.dp
About,IN,3,wsj_0003.dp
160,CD,1,wsj_0003.dp
workers,NNS,14,wsj_0003.dp
at,IN,3,wsj_0003.dp
a,DT,6,wsj_0003.dp
factory,NN,4,wsj_0003.dp
that,WDT,6,wsj_0003.dp
made,VBD,7,wsj_0003.dp
paper,NN,8,wsj_0003.dp
for,IN,9,wsj_0003.dp
the,DT,13,wsj_0003.dp
Kent,NNP,13,wsj_0003.dp
filters,NNS,10,wsj_0003.dp
were,VBD,0,wsj_0003.dp
exposed,VBN,14,wsj_0003.dp
to,TO,15,wsj_0003.dp
asbestos,NN,16,wsj_0003.dp
in,IN,15,wsj_0003.dp
the,DT,20,wsj_0003.dp
1950s,CD,18,wsj_0003.dp
.,.,14,wsj_0003.dp
Areas,NNS,5,wsj_0003.dp
of,IN,1,wsj_0003.dp
the,DT,4,wsj_0003.dp
factory,NN,2,wsj_0003.dp
were,VBD,0,wsj_0003.dp
particularly,RB,7,wsj_0003.dp
dusty,JJ,5,wsj_0003.dp
where,WRB,5,wsj_0003.dp
the,DT,10,wsj_0003.dp
crocidolite,NN,11,wsj_0003.dp
was,VBD,8,wsj_0003.dp
used,VBN,11,wsj_0003.dp
.,.,5,wsj_0003.dp
Workers,NNS,2,wsj_0003.dp
dumped,VBD,0,wsj_0003.dp
large,JJ,5,wsj_0003.dp
burlap,NN,5,wsj_0003.dp
sacks,NNS,2,wsj_0003.dp
of,IN,5,wsj_0003.dp
the,DT,9,wsj_0003.dp
imported,VBN,9,wsj_0003.dp
material,NN,6,wsj_0003.dp
into,IN,2,wsj_0003.dp
a,DT,13,wsj_0003.dp
huge,JJ,13,wsj_0003.dp
bin,NN,10,wsj_0003.dp
",",",",2,wsj_0003.dp
poured,VBD,2,wsj_0003.dp
in,RP,15,wsj_0003.dp
cotton,NN,20,wsj_0003.dp
and,CC,20,wsj_0003.dp
acetate,NN,20,wsj_0003.dp
fibers,NNS,15,wsj_0003.dp
and,CC,2,wsj_0003.dp
mechanically,RB,23,wsj_0003.dp
mixed,VBD,2,wsj_0003.dp
the,DT,26,wsj_0003.dp
dry,JJ,26,wsj_0003.dp
fibers,NNS,23,wsj_0003.dp
in,IN,23,wsj_0003.dp
a,DT,29,wsj_0003.dp
process,NN,27,wsj_0003.dp
used,VBN,29,wsj_0003.dp
to,TO,32,wsj_0003.dp
make,VB,30,wsj_0003.dp
filters,NNS,32,wsj_0003.dp
.,.,2,wsj_0003.dp
Workers,NNS,2,wsj_0003.dp
described,VBD,0,wsj_0003.dp
``,``,4,wsj_0003.dp
clouds,NNS,2,wsj_0003.dp
of,IN,4,wsj_0003.dp
blue,JJ,7,wsj_0003.dp
dust,NN,5,wsj_0003.dp
'','',4,wsj_0003.dp
that,WDT,4,wsj_0003.dp
hung,VBD,9,wsj_0003.dp
over,IN,10,wsj_0003.dp
parts,NNS,11,wsj_0003.dp
of,IN,12,wsj_0003.dp
the,DT,15,wsj_0003.dp
factory,NN,13,wsj_0003.dp
",",",",10,wsj_0003.dp
even,RB,18,wsj_0003.dp
though,IN,10,wsj_0003.dp
exhaust,NN,20,wsj_0003.dp
fans,NNS,21,wsj_0003.dp
ventilated,VBD,18,wsj_0003.dp
the,DT,23,wsj_0003.dp
area,NN,21,wsj_0003.dp
.,.,2,wsj_0003.dp
``,``,18,wsj_0003.dp
There,EX,3,wsj_0003.dp
's,VBZ,18,wsj_0003.dp
no,DT,5,wsj_0003.dp
question,NN,3,wsj_0003.dp
that,IN,5,wsj_0003.dp
some,DT,13,wsj_0003.dp
of,IN,7,wsj_0003.dp
those,DT,12,wsj_0003.dp
workers,NNS,12,wsj_0003.dp
and,CC,12,wsj_0003.dp
managers,NNS,8,wsj_0003.dp
contracted,VBD,6,wsj_0003.dp
asbestos-related,JJ,15,wsj_0003.dp
diseases,NNS,13,wsj_0003.dp
",",",",18,wsj_0003.dp
'','',18,wsj_0003.dp
said,VBD,0,wsj_0003.dp
Darrell,NNP,20,wsj_0003.dp
Phillips,NNP,23,wsj_0003.dp
",",",",23,wsj_0003.dp
vice,NN,23,wsj_0003.dp
president,NN,18,wsj_0003.dp
of,IN,23,wsj_0003.dp
human,JJ,26,wsj_0003.dp
resources,NNS,24,wsj_0003.dp
for,IN,23,wsj_0003.dp
Hollingsworth,NNP,30,wsj_0003.dp
&,CC,30,wsj_0003.dp
Vose,NNP,27,wsj_0003.dp
.,.,18,wsj_0003.dp
``,``,4,wsj_0003.dp
But,CC,4,wsj_0003.dp
you,PRP,4,wsj_0003.dp
have,VBP,0,wsj_0003.dp
to,TO,6,wsj_0003.dp
recognize,VB,4,wsj_0003.dp
that,IN,6,wsj_0003.dp
these,DT,9,wsj_0003.dp
events,NNS,10,wsj_0003.dp
took,VBD,7,wsj_0003.dp
place,NN,10,wsj_0003.dp
35,CD,13,wsj_0003.dp
years,NNS,14,wsj_0003.dp
